industry,date,exports_us_mill_nok,exports_total_mill_nok,share_of_total
0 Food and live animals,2025-01-01,1495.893,15575.256,0.09604291576331074
0 Food and live animals,2025-02-01,1644.501,14585.007,0.11275284269661304
0 Food and live animals,2025-03-01,1857.425,15329.476,0.12116689441961355
0 Food and live animals,2025-04-01,1388.178,14418.21,0.09627949655331697
0 Food and live animals,2025-05-01,1362.144,14064.688,0.09684850456689832
0 Food and live animals,2025-06-01,1044.848,13875.828,0.07529986678993138
0 Food and live animals,2025-07-01,1101.628,14526.38,0.0758363749261688
0 Food and live animals,2025-08-01,1076.225,14651.551,0.07345468066827873
0 Food and live animals,2025-09-01,1268.333,18384.948,0.06898757614109108
0 Food and live animals,2025-10-01,1368.507,18960.115,0.07217820145078234
0 Food and live animals,2025-11-01,1107.259,16902.756,0.06550760124561934
0 Food and live animals,2025-12-01,1229.521,16327.593,0.0753032611726664
0 Food and live animals,2026-01-01,935.218,15138.737,0.06177648769510957
0 Food and live animals,2026-02-01,1035.31,14005.723,0.07392049664269384
0 Food and live animals,2026-03-01,1318.054,15780.602,0.08352368306354853
0 Food and live animals,2026-04-01,974.817,13753.325,0.07087864207382578
0 Food and live animals,2026-05-01,989.272,13583.95,0.07282653425550005
0 Food and live animals,2026-06-01,1005.744,14829.513,0.06782043348287971
0 Food and live animals,2026-07-01,1047.697,15898.528,0.06589899391943706
1 Beverages and tobacco,2025-01-01,8.949,108.947,0.08214085748116057
1 Beverages and tobacco,2025-02-01,14.319,87.491,0.1636625481478095
1 Beverages and tobacco,2025-03-01,4.92,126.782,0.038806770677225474
1 Beverages and tobacco,2025-04-01,12.282,109.118,0.11255704833299732
1 Beverages and tobacco,2025-05-01,4.874,123.053,0.039608948989459825
1 Beverages and tobacco,2025-06-01,2.038,122.239,0.016672256808383575
1 Beverages and tobacco,2025-07-01,5.79,115.103,0.05030277229959254
1 Beverages and tobacco,2025-08-01,3.26,118.582,0.027491524852001147
1 Beverages and tobacco,2025-09-01,0.863,129.775,0.006649971103833557
1 Beverages and tobacco,2025-10-01,1.604,129.271,0.01240804202025203
1 Beverages and tobacco,2025-11-01,5.054,108.344,0.046647714686553945
1 Beverages and tobacco,2025-12-01,9.46,82.841,0.11419466206347101
1 Beverages and tobacco,2026-01-01,5.672,115.137,0.04926305184258752
1 Beverages and tobacco,2026-02-01,1.944,111.109,0.017496332430316175
1 Beverages and tobacco,2026-03-01,6.035,108.486,0.05562929778957654
1 Beverages and tobacco,2026-04-01,10.64,98.332,0.10820485701501038
1 Beverages and tobacco,2026-05-01,13.595,83.693,0.16243891364869226
1 Beverages and tobacco,2026-06-01,14.283,104.334,0.13689688883777099
1 Beverages and tobacco,2026-07-01,8.815,96.683,0.09117424986812572
"2 Crude materials, inedible, except fuels",2025-01-01,23.737,2597.043,0.009140010388738268
"2 Crude materials, inedible, except fuels",2025-02-01,46.37,2541.573,0.018244606784853318
"2 Crude materials, inedible, except fuels",2025-03-01,38.555,2993.813,0.012878225861134279
"2 Crude materials, inedible, except fuels",2025-04-01,241.727,2960.551,0.08164932811493536
"2 Crude materials, inedible, except fuels",2025-05-01,196.166,2952.723,0.06643562569194604
"2 Crude materials, inedible, except fuels",2025-06-01,22.389,2523.623,0.008871768881485071
"2 Crude materials, inedible, except fuels",2025-07-01,199.99,2404.38,0.0831773679701212
"2 Crude materials, inedible, except fuels",2025-08-01,26.274,2278.174,0.011532920663654312
