industry,date,exports_mill_nok
0 Food and live animals,2025-01-01,1495.893
0 Food and live animals,2025-02-01,1644.501
0 Food and live animals,2025-03-01,1857.425
0 Food and live animals,2025-04-01,1388.178
0 Food and live animals,2025-05-01,1362.144
0 Food and live animals,2025-06-01,1044.848
0 Food and live animals,2025-07-01,1101.628
0 Food and live animals,2025-08-01,1076.225
0 Food and live animals,2025-09-01,1268.333
0 Food and live animals,2025-10-01,1368.507
0 Food and live animals,2025-11-01,1107.259
0 Food and live animals,2025-12-01,1229.521
0 Food and live animals,2026-01-01,935.218
0 Food and live animals,2026-02-01,1035.31
0 Food and live animals,2026-03-01,1318.054
0 Food and live animals,2026-04-01,974.817
0 Food and live animals,2026-05-01,989.272
0 Food and live animals,2026-06-01,1005.744
0 Food and live animals,2026-07-01,1047.697
1 Beverages and tobacco,2025-01-01,8.949
1 Beverages and tobacco,2025-02-01,14.319
1 Beverages and tobacco,2025-03-01,4.92
1 Beverages and tobacco,2025-04-01,12.282
1 Beverages and tobacco,2025-05-01,4.874
1 Beverages and tobacco,2025-06-01,2.038
1 Beverages and tobacco,2025-07-01,5.79
1 Beverages and tobacco,2025-08-01,3.26
1 Beverages and tobacco,2025-09-01,0.863
1 Beverages and tobacco,2025-10-01,1.604
1 Beverages and tobacco,2025-11-01,5.054
1 Beverages and tobacco,2025-12-01,9.46
1 Beverages and tobacco,2026-01-01,5.672
1 Beverages and tobacco,2026-02-01,1.944
1 Beverages and tobacco,2026-03-01,6.035
1 Beverages and tobacco,2026-04-01,10.64
1 Beverages and tobacco,2026-05-01,13.595
1 Beverages and tobacco,2026-06-01,14.283
1 Beverages and tobacco,2026-07-01,8.815
"2 Crude materials, inedible, except fuels",2025-01-01,23.737
"2 Crude materials, inedible, except fuels",2025-02-01,46.37
"2 Crude materials, inedible, except fuels",2025-03-01,38.555
"2 Crude materials, inedible, except fuels",2025-04-01,241.727
"2 Crude materials, inedible, except fuels",2025-05-01,196.166
"2 Crude materials, inedible, except fuels",2025-06-01,22.389
"2 Crude materials, inedible, except fuels",2025-07-01,199.99
"2 Crude materials, inedible, except fuels",2025-08-01,26.274
"2 Crude materials, inedible, except fuels",2025-09-01,16.015
"2 Crude materials, inedible, except fuels",2025-10-01,184.95
"2 Crude materials, inedible, except fuels",2025-11-01,166.214
"2 Crude materials, inedible, except fuels",2025-12-01,33.596
"2 Crude materials, inedible, except fuels",2026-01-01,40.573
"2 Crude materials, inedible, except fuels",2026-02-01,26.498
"2 Crude materials, inedible, except fuels",2026-03-01,173.104
"2 Crude materials, inedible, except fuels",2026-04-01,16.513
"2 Crude materials, inedible, except fuels",2026-05-01,178.652
"2 Crude materials, inedible, except fuels",2026-06-01,47.249
"2 Crude materials, inedible, except fuels",2026-07-01,196.795
"3 Mineral fuels, lubricants and related materials",2025-01-01,2409.978
"3 Mineral fuels, lubricants and related materials",2025-02-01,852.415
"3 Mineral fuels, lubricants and related materials",2025-03-01,514.984
"3 Mineral fuels, lubricants and related materials",2025-04-01,567.094
"3 Mineral fuels, lubricants and related materials",2025-05-01,764.779
"3 Mineral fuels, lubricants and related materials",2025-06-01,1280.187
"3 Mineral fuels, lubricants and related materials",2025-07-01,753.132
"3 Mineral fuels, lubricants and related materials",2025-08-01,1027.53
"3 Mineral fuels, lubricants and related materials",2025-09-01,778.668
"3 Mineral fuels, lubricants and related materials",2025-10-01,461.847
"3 Mineral fuels, lubricants and related materials",2025-11-01,202.188
"3 Mineral fuels, lubricants and related materials",2025-12-01,94.71
"3 Mineral fuels, lubricants and related materials",2026-01-01,176.303
"3 Mineral fuels, lubricants and related materials",2026-02-01,253.329
"3 Mineral fuels, lubricants and related materials",2026-03-01,1085.44
"3 Mineral fuels, lubricants and related materials",2026-04-01,0.686
"3 Mineral fuels, lubricants and related materials",2026-05-01,768.636
"3 Mineral fuels, lubricants and related materials",2026-06-01,2011.916
"3 Mineral fuels, lubricants and related materials",2026-07-01,943.322
"4 Animal and vegetable oils, fats and waxes",2025-01-01,148.024
"4 Animal and vegetable oils, fats and waxes",2025-02-01,77.089
"4 Animal and vegetable oils, fats and waxes",2025-03-01,125.862
"4 Animal and vegetable oils, fats and waxes",2025-04-01,120.015
"4 Animal and vegetable oils, fats and waxes",2025-05-01,129.332
"4 Animal and vegetable oils, fats and waxes",2025-06-01,121.772
"4 Animal and vegetable oils, fats and waxes",2025-07-01,81.833
"4 Animal and vegetable oils, fats and waxes",2025-08-01,83.776
"4 Animal and vegetable oils, fats and waxes",2025-09-01,122.505
"4 Animal and vegetable oils, fats and waxes",2025-10-01,131.425
"4 Animal and vegetable oils, fats and waxes",2025-11-01,123.342
"4 Animal and vegetable oils, fats and waxes",2025-12-01,113.607
"4 Animal and vegetable oils, fats and waxes",2026-01-01,97.453
"4 Animal and vegetable oils, fats and waxes",2026-02-01,128.492
"4 Animal and vegetable oils, fats and waxes",2026-03-01,150.835
"4 Animal and vegetable oils, fats and waxes",2026-04-01,95.82
"4 Animal and vegetable oils, fats and waxes",2026-05-01,122.972
"4 Animal and vegetable oils, fats and waxes",2026-06-01,169.879
"4 Animal and vegetable oils, fats and waxes",2026-07-01,100.717
5 Chemicals and related products n.e.s.,2025-01-01,632.253
5 Chemicals and related products n.e.s.,2025-02-01,536.01
5 Chemicals and related products n.e.s.,2025-03-01,651.438
5 Chemicals and related products n.e.s.,2025-04-01,664.844
5 Chemicals and related products n.e.s.,2025-05-01,515.368
5 Chemicals and related products n.e.s.,2025-06-01,640.025
5 Chemicals and related products n.e.s.,2025-07-01,619.73
5 Chemicals and related products n.e.s.,2025-08-01,394.947
5 Chemicals and related products n.e.s.,2025-09-01,503.705
5 Chemicals and related products n.e.s.,2025-10-01,528.479
5 Chemicals and related products n.e.s.,2025-11-01,377.588
5 Chemicals and related products n.e.s.,2025-12-01,471.528
5 Chemicals and related products n.e.s.,2026-01-01,282.602
