date,usd_nok
2018-01-01,7.9092
2018-02-01,7.8327
2018-03-01,7.7655
2018-04-01,7.837
2018-05-01,8.1004
2018-06-01,8.1134
2018-07-01,8.1276
2018-08-01,8.327
2018-09-01,8.2523
2018-10-01,8.2549
2018-11-01,8.4698
2018-12-01,8.6045
2019-01-01,8.5521
2019-02-01,8.5848
2019-03-01,8.5984
2019-04-01,8.565
2019-05-01,8.7411
2019-06-01,8.6294
2019-07-01,8.61
2019-08-01,8.9648
2019-09-01,9.0155
2019-10-01,9.153
2019-11-01,9.1475
2019-12-01,9.042
2020-01-01,8.9538
2020-02-01,9.292
2020-03-01,10.2202
2020-04-01,10.4435
2020-05-01,10.0874
2020-06-01,9.5261
2020-07-01,9.2968
2020-08-01,8.945
2020-09-01,9.1406
2020-10-01,9.2757
2020-11-01,9.0781
2020-12-01,8.7156
2021-01-01,8.5174
2021-02-01,8.4969
2021-03-01,8.5276
2021-04-01,8.3713
2021-05-01,8.3042
2021-06-01,8.422
2021-07-01,8.7779
2021-08-01,8.8516
2021-09-01,8.6541
2021-10-01,8.4597
2021-11-01,8.7337
2021-12-01,8.968
2022-01-01,8.845
2022-02-01,8.8651
2022-03-01,8.8367
2022-04-01,8.9013
2022-05-01,9.5875
2022-06-01,9.7645
2022-07-01,10.0042
2022-08-01,9.7068
2022-09-01,10.2735
2022-10-01,10.5775
2022-11-01,10.1355
2022-12-01,9.8672
2023-01-01,9.9506
2023-02-01,10.2231
2023-03-01,10.5425
2023-04-01,10.5064
2023-05-01,10.7764
2023-06-01,10.8099
2023-07-01,10.2644
2023-08-01,10.4629
2023-09-01,10.7197
2023-10-01,11.0089
2023-11-01,10.9161
2023-12-01,10.581
2024-01-01,10.4083
2024-02-01,10.5463
2024-03-01,10.5857
2024-04-01,10.8911
2024-05-01,10.7199
2024-06-01,10.6125
2024-07-01,10.8038
2024-08-01,10.7073
2024-09-01,10.6121
2024-10-01,10.8141
2024-11-01,11.0454
2024-12-01,11.1988
2025-01-01,11.3448
2025-02-01,11.196
2025-03-01,10.6867
2025-04-01,10.5593
2025-05-01,10.2881
2025-06-01,10.0577
2025-07-01,10.1519
2025-08-01,10.2013
2025-09-01,9.9474
2025-10-01,10.0285
2025-11-01,10.1558
2025-12-01,10.1196
2026-01-01,9.941
2026-02-01,9.5744
2026-03-01,9.6605
2026-04-01,9.4089
2026-05-01,9.2476
2026-06-01,9.5815
2026-07-01,9.7064
2026-08-01,9.4262
